v1-patch_id,v1-labels-grouped,v2-labels-grouped
S2A_MSIL2A_20180205T100211_20_5,6.0,6.0
S2B_MSIL2A_20180515T112109_9_89,4.0,0.0
S2B_MSIL2A_20170825T093029_44_66,5.0,5.0
S2B_MSIL2A_20180421T100029_5_67,5.0,5.0
S2B_MSIL2A_20170817T101019_78_78,3.0,3.0
S2A_MSIL2A_20180430T094031_63_49,5.0,5.0
S2B_MSIL2A_20171016T101009_81_57,0.0,0.0
S2B_MSIL2A_20180502T093039_85_54,6.0,6.0
S2B_MSIL2A_20171226T094359_75_90,1.0,1.0
S2B_MSIL2A_20180521T100029_72_12,7.0,7.0
S2B_MSIL2A_20170914T093029_73_14,6.0,
S2B_MSIL2A_20180422T093029_90_80,5.0,5.0
S2B_MSIL2A_20180220T114339_78_14,0.0,0.0
S2B_MSIL2A_20170817T101019_27_74,3.0,3.0
S2A_MSIL2A_20171002T094031_90_54,1.0,1.0
S2B_MSIL2A_20180522T093029_42_49,5.0,5.0
S2A_MSIL2A_20171208T093351_54_9,6.0,6.0
S2A_MSIL2A_20171101T94132_43_76,5.0,5.0
S2A_MSIL2A_20180506T100031_84_6,5.0,5.0
S2B_MSIL2A_20170808T094029_1_34,6.0,6.0
S2B_MSIL2A_20180201T093219_51_77,7.0,7.0
S2A_MSIL2A_20180225T114351_14_66,5.0,5.0
S2A_MSIL2A_20171221T112501_64_54,6.0,6.0
S2B_MSIL2A_20170924T93020_60_5,5.0,5.0
S2B_MSIL2A_20170825T093029_71_66,5.0,5.0
S2B_MSIL2A_20171206T094349_31_26,5.0,5.0
S2A_MSIL2A_20171002T112111_80_39,2.0,2.0
S2B_MSIL2A_20170829T105019_57_5,7.0,7.0
S2A_MSIL2A_20170813T112121_1_60,0.0,0.0
S2A_MSIL2A_20170613T101032_80_42,3.0,3.0
S2A_MSIL2A_20180527T093041_45_23,5.0,
S2B_MSIL2A_20170818T112109_72_11,5.0,
S2B_MSIL2A_20170914T093029_49_39,7.0,7.0
S2A_MSIL2A_20171002T112112_73_32,6.0,6.0
S2A_MSIL2A_20171002T112111_21_90,5.0,5.0
S2A_MSIL2A_20170816T095031_58_59,5.0,
S2B_MSIL2A_20170801T095029_5_13,7.0,7.0
S2A_MSIL2A_20180419T101031_84_82,5.0,5.0
S2B_MSIL2A_20170718T115359_9_60,5.0,5.0
S2A_MSIL2A_20180526T100031_49_63,3.0,3.0
S2A_MSIL2A_20170816T095031_81_15,6.0,
S2B_MSIL2A_20180525T94030_63_44,5.0,5.0
S2A_MSIL2A_20180225T114351_34_42,5.0,5.0
S2B_MSIL2A_20180422T093029_54_50,3.0,3.0
S2B_MSIL2A_20170716T093039_10_84,5.0,5.0
S2B_MSIL2A_20180515T112110_17_85,5.0,
S2B_MSIL2A_20170924T93020_3_21,5.0,5.0
S2B_MSIL2A_20170825T093029_35_90,5.0,5.0
S2A_MSIL2A_20171208T093351_23_64,5.0,5.0
S2A_MSIL2A_20170704T112111_24_45,5.0,5.0
S2A_MSIL2A_20170704T112111_17_9,6.0,6.0
S2B_MSIL2A_20180220T114339_12_22,2.0,2.0
S2B_MSIL2A_20180421T100029_85_25,5.0,5.0
S2B_MSIL2A_20170924T93020_42_72,5.0,5.0
S2B_MSIL2A_20171016T101009_70_84,0.0,
S2B_MSIL2A_20170914T093029_88_4,2.0,2.0
S2B_MSIL2A_20170906T101019_70_76,0.0,0.0
S2A_MSIL2A_20171121T112351_75_40,6.0,6.0
S2B_MSIL2A_20180421T100030_22_84,6.0,6.0
S2A_MSIL2A_20180413T095031_81_62,5.0,5.0
S2B_MSIL2A_20180428T095029_38_9,5.0,5.0
S2A_MSIL2A_20180506T100031_4_56,7.0,7.0
S2B_MSIL2A_20170914T93030_90_51,3.0,3.0
S2A_MSIL2A_20170905T095031_53_20,3.0,3.0
S2A_MSIL2A_20180419T101031_31_83,0.0,0.0
S2B_MSIL2A_20180515T094029_41_4,7.0,7.0
S2A_MSIL2A_20180318T093031_8_90,6.0,6.0
S2B_MSIL2A_20180421T100029_84_55,6.0,6.0
S2A_MSIL2A_20170813T112121_34_84,6.0,6.0
S2B_MSIL2A_20171112T114339_4_35,5.0,5.0
S2B_MSIL2A_20170831T095029_4_72,5.0,5.0
S2B_MSIL2A_20180515T112109_83_37,4.0,6.0
S2B_MSIL2A_20180326T112109_29_90,0.0,0.0
S2B_MSIL2A_20171206T094349_35_44,6.0,6.0
S2B_MSIL2A_20171107T105229_74_14,7.0,7.0
S2B_MSIL2A_20180521T100029_28_84,5.0,5.0
S2A_MSIL2A_20180413T95032_20_59,0.0,0.0
S2A_MSIL2A_20180318T093031_10_4,6.0,6.0
S2A_MSIL2A_20171208T093351_51_3,1.0,1.0
S2A_MSIL2A_20180509T101031_55_68,0.0,0.0
S2B_MSIL2A_20180515T094029_27_18,5.0,5.0
S2B_MSIL2A_20170709T094029_8_21,5.0,5.0
S2A_MSIL2A_20180507T093041_15_71,5.0,5.0
S2B_MSIL2A_20180515T112110_75_10,5.0,5.0
S2A_MSIL2A_20180527T093041_11_45,6.0,
S2A_MSIL2A_20170813T112121_0_16,7.0,7.0
S2B_MSIL2A_20180511T100029_87_22,0.0,0.0
S2B_MSIL2A_20180326T112109_85_21,5.0,5.0
S2B_MSIL2A_20171206T094349_80_69,1.0,1.0
S2A_MSIL2A_20170617T113321_33_90,5.0,5.0
S2B_MSIL2A_20170924T093019_45_18,5.0,5.0
S2A_MSIL2A_20180419T101031_45_69,0.0,0.0
S2B_MSIL2A_20170914T093029_31_75,5.0,5.0
S2A_MSIL2A_20170905T095031_50_63,3.0,3.0
S2A_MSIL2A_20180526T100031_84_85,5.0,5.0
S2B_MSIL2A_20170709T094029_77_19,5.0,5.0
S2B_MSIL2A_20170927T094019_6_10,7.0,7.0
S2A_MSIL2A_20170701T093031_0_63,5.0,5.0
S2B_MSIL2A_20180525T094029_22_66,5.0,5.0
S2B_MSIL2A_20180502T093039_34_10,5.0,5.0
S2B_MSIL2A_20180515T112110_57_48,5.0,5.0
S2A_MSIL2A_20180529T115401_48_83,5.0,
S2B_MSIL2A_20171112T114339_44_0,5.0,5.0
S2B_MSIL2A_20180515T112110_17_53,6.0,6.0
S2B_MSIL2A_20170924T93020_43_0,3.0,3.0
S2B_MSIL2A_20170930T095019_77_4,5.0,5.0
S2B_MSIL2A_20180525T94031_20_66,3.0,3.0
S2B_MSIL2A_20180417T102019_74_46,3.0,3.0
S2A_MSIL2A_20180527T093041_38_11,6.0,
S2B_MSIL2A_20180421T100029_81_0,6.0,6.0
S2A_MSIL2A_20171121T112351_82_77,6.0,6.0
S2B_MSIL2A_20180525T94030_24_80,0.0,0.0
S2B_MSIL2A_20180421T114349_41_5,5.0,
S2B_MSIL2A_20180525T94030_26_67,5.0,5.0
S2A_MSIL2A_20170704T112111_61_54,3.0,3.0
S2A_MSIL2A_20170816T095031_75_26,6.0,
S2B_MSIL2A_20180525T094029_90_19,3.0,3.0
S2A_MSIL2A_20180225T114351_30_85,6.0,
S2A_MSIL2A_20180430T094031_74_27,1.0,1.0
S2B_MSIL2A_20180422T093029_0_21,3.0,3.0
S2A_MSIL2A_20171221T112501_24_4,6.0,6.0
S2A_MSIL2A_20180430T094031_73_18,1.0,1.0
S2B_MSIL2A_20180515T112110_25_69,6.0,6.0
S2A_MSIL2A_20180205T100211_90_27,5.0,5.0
S2B_MSIL2A_20180422T093029_21_5,6.0,6.0
S2B_MSIL2A_20170914T093029_48_59,5.0,5.0
S2B_MSIL2A_20170906T101020_13_85,5.0,5.0
S2A_MSIL2A_20180225T114351_3_28,6.0,6.0
S2B_MSIL2A_20170930T095019_26_35,6.0,6.0
S2B_MSIL2A_20170906T101019_45_36,6.0,6.0
S2A_MSIL2A_20180419T101031_25_66,0.0,0.0
S2A_MSIL2A_20180526T100031_46_7,3.0,3.0
S2A_MSIL2A_20170905T095031_48_17,3.0,3.0
S2A_MSIL2A_20170813T112121_67_70,6.0,6.0
S2A_MSIL2A_20170803T094031_84_10,5.0,5.0
S2B_MSIL2A_20180204T094159_28_54,6.0,6.0
S2B_MSIL2A_20171206T094349_47_44,5.0,5.0
S2B_MSIL2A_20170930T095019_77_35,6.0,6.0
S2A_MSIL2A_20170818T103021_23_90,3.0,3.0
S2A_MSIL2A_20171101T94132_19_88,5.0,5.0
S2B_MSIL2A_20180428T095029_39_9,1.0,1.0
S2B_MSIL2A_20170924T93020_58_63,3.0,3.0
S2A_MSIL2A_20180526T100031_33_27,5.0,5.0
S2A_MSIL2A_20180527T093041_33_13,5.0,
S2B_MSIL2A_20180525T094029_89_39,3.0,3.0
S2A_MSIL2A_20170717T113321_68_30,7.0,7.0
S2A_MSIL2A_20170617T113321_67_2,6.0,6.0
S2B_MSIL2A_20180421T100030_65_3,6.0,6.0
S2B_MSIL2A_20170831T095029_8_17,6.0,6.0
S2B_MSIL2A_20180515T112110_8_11,5.0,5.0
S2A_MSIL2A_20171221T112501_61_7,5.0,5.0
S2B_MSIL2A_20170825T093029_29_41,5.0,5.0
S2A_MSIL2A_20170803T094031_66_60,5.0,5.0
S2A_MSIL2A_20170818T103021_9_41,6.0,6.0
S2B_MSIL2A_20171107T105229_30_3,7.0,7.0
S2B_MSIL2A_20180525T094029_80_80,5.0,5.0
S2B_MSIL2A_20180525T094029_3_13,6.0,6.0
S2B_MSIL2A_20180421T100029_41_10,5.0,5.0
S2B_MSIL2A_20180421T114349_76_70,0.0,0.0
S2B_MSIL2A_20180201T093219_38_81,5.0,5.0
S2B_MSIL2A_20170924T093019_15_21,3.0,3.0
S2A_MSIL2A_20171221T112501_36_65,6.0,6.0
S2B_MSIL2A_20170906T101019_58_25,3.0,3.0
S2B_MSIL2A_20171016T101009_59_68,0.0,
S2A_MSIL2A_20180527T093041_78_53,6.0,
S2A_MSIL2A_20180506T100031_86_60,1.0,1.0
S2B_MSIL2A_20180506T105029_86_12,5.0,5.0
S2B_MSIL2A_20170817T101019_86_9,5.0,5.0
S2B_MSIL2A_20171219T095409_5_21,7.0,7.0
S2A_MSIL2A_20171221T112501_37_22,5.0,5.0
S2A_MSIL2A_20170803T094031_68_43,1.0,1.0
S2A_MSIL2A_20171015T095031_28_44,6.0,6.0
S2B_MSIL2A_20171016T101009_6_2,0.0,0.0
S2B_MSIL2A_20180515T112109_77_12,4.0,6.0
S2B_MSIL2A_20180224T112109_14_80,5.0,5.0
S2B_MSIL2A_20180521T100029_25_70,3.0,3.0
S2B_MSIL2A_20180201T093219_80_45,5.0,5.0
S2A_MSIL2A_20171015T095031_1_67,5.0,5.0
S2B_MSIL2A_20180422T093029_1_44,6.0,6.0
S2B_MSIL2A_20180502T093039_66_66,5.0,5.0
S2A_MSIL2A_20180225T114351_79_7,5.0,5.0
S2A_MSIL2A_20170617T113321_11_67,6.0,6.0
S2A_MSIL2A_20180529T115401_79_55,0.0,0.0
S2B_MSIL2A_20180515T112110_70_13,3.0,3.0
S2A_MSIL2A_20180508T104031_9_90,5.0,5.0
S2A_MSIL2A_20170613T101031_86_45,6.0,6.0
S2B_MSIL2A_20180525T94030_42_71,5.0,5.0
S2B_MSIL2A_20180515T094029_19_13,3.0,3.0
S2A_MSIL2A_20180529T115401_63_81,5.0,5.0
S2B_MSIL2A_20180224T112109_22_20,2.0,2.0
S2A_MSIL2A_20170704T112111_47_80,5.0,5.0
S2B_MSIL2A_20170906T101019_0_61,0.0,0.0
S2B_MSIL2A_20180515T112109_50_30,4.0,5.0
S2B_MSIL2A_20170814T100029_32_52,0.0,
S2A_MSIL2A_20180527T093041_69_78,5.0,
S2A_MSIL2A_20171002T112112_84_5,6.0,6.0
S2A_MSIL2A_20170704T112111_7_11,5.0,5.0
S2B_MSIL2A_20180509T092029_12_69,3.0,3.0
S2A_MSIL2A_20180430T094031_66_75,7.0,7.0
S2A_MSIL2A_20170717T113321_20_65,6.0,6.0
S2B_MSIL2A_20170927T94020_11_62,6.0,6.0
S2B_MSIL2A_20180525T94030_9_47,5.0,5.0
S2A_MSIL2A_20170617T113321_57_6,5.0,5.0
S2A_MSIL2A_20171201T112431_89_28,5.0,5.0
S2B_MSIL2A_20170818T112109_43_27,5.0,
S2A_MSIL2A_20170704T112111_81_21,5.0,5.0
S2B_MSIL2A_20170927T094019_4_71,5.0,5.0
S2A_MSIL2A_20171201T112431_81_66,3.0,3.0
S2A_MSIL2A_20171201T112431_55_66,2.0,2.0
S2B_MSIL2A_20180220T114339_49_17,5.0,5.0
S2A_MSIL2A_20170704T112111_10_48,6.0,6.0
S2B_MSIL2A_20180421T100029_41_87,6.0,6.0
S2A_MSIL2A_20180419T101031_45_90,0.0,0.0
S2B_MSIL2A_20171016T101009_21_37,0.0,0.0
S2B_MSIL2A_20170709T094029_80_49,6.0,6.0
S2A_MSIL2A_20180510T094031_36_71,1.0,1.0
S2B_MSIL2A_20180421T100029_44_51,5.0,5.0
S2A_MSIL2A_20171002T094031_82_82,5.0,5.0
S2B_MSIL2A_20170911T092019_24_8,5.0,5.0
S2A_MSIL2A_20171121T112351_88_28,3.0,3.0
S2B_MSIL2A_20180201T093219_28_5,5.0,5.0
S2A_MSIL2A_20180205T100211_82_4,3.0,3.0
S2B_MSIL2A_20170808T094029_70_8,6.0,6.0
S2A_MSIL2A_20180510T94032_27_80,3.0,3.0
S2B_MSIL2A_20180525T94031_2_54,3.0,3.0
S2A_MSIL2A_20171002T094031_78_8,6.0,6.0
S2A_MSIL2A_20180413T95032_4_26,6.0,6.0
S2B_MSIL2A_20170709T094029_76_66,5.0,5.0
S2B_MSIL2A_20180511T100029_42_42,0.0,0.0
S2B_MSIL2A_20171016T101009_28_34,0.0,0.0
S2A_MSIL2A_20170905T095031_19_52,3.0,3.0
S2A_MSIL2A_20180413T95032_40_17,6.0,6.0
S2A_MSIL2A_20180205T100211_29_45,7.0,7.0
S2B_MSIL2A_20170924T93020_25_88,5.0,5.0
S2B_MSIL2A_20170824T100019_11_25,5.0,5.0
S2B_MSIL2A_20170924T93014_3_37,5.0,5.0
S2B_MSIL2A_20170829T105019_65_22,7.0,7.0
S2B_MSIL2A_20170709T094029_57_14,3.0,3.0
S2B_MSIL2A_20180421T100030_8_15,5.0,5.0
S2B_MSIL2A_20170930T095019_60_66,5.0,5.0
S2A_MSIL2A_20170717T113321_21_48,5.0,5.0
S2A_MSIL2A_20180430T094031_80_56,1.0,1.0
S2A_MSIL2A_20171221T112501_67_54,3.0,3.0
S2B_MSIL2A_20170911T092019_3_29,5.0,5.0
S2B_MSIL2A_20171016T101009_42_37,5.0,5.0
S2B_MSIL2A_20171016T101009_56_72,0.0,
S2A_MSIL2A_20180225T114351_55_63,6.0,6.0
S2A_MSIL2A_20171002T112111_5_13,6.0,6.0
S2A_MSIL2A_20180510T094031_68_83,5.0,5.0
S2A_MSIL2A_20171208T093351_58_19,7.0,7.0
S2B_MSIL2A_20170914T093029_67_16,5.0,5.0
S2B_MSIL2A_20170914T093029_29_59,6.0,6.0
S2B_MSIL2A_20170906T101019_36_2,0.0,0.0
S2A_MSIL2A_20171201T112431_10_50,0.0,0.0
S2B_MSIL2A_20180525T094029_62_70,6.0,6.0
S2A_MSIL2A_20170613T101031_51_25,0.0,0.0
S2A_MSIL2A_20170613T101031_25_43,0.0,0.0
S2B_MSIL2A_20171112T114339_74_72,0.0,0.0
S2A_MSIL2A_20171208T093351_47_51,5.0,5.0
S2A_MSIL2A_20171201T112431_3_3,0.0,
S2A_MSIL2A_20170813T112121_29_8,6.0,6.0
S2B_MSIL2A_20170924T093019_55_81,6.0,6.0
S2B_MSIL2A_20180421T100029_72_27,6.0,6.0
S2A_MSIL2A_20171015T095031_16_27,6.0,6.0
S2A_MSIL2A_20171121T112351_90_59,6.0,6.0
S2B_MSIL2A_20171112T114339_48_56,5.0,5.0
S2B_MSIL2A_20170914T093029_69_71,5.0,5.0
S2A_MSIL2A_20180510T094031_9_55,1.0,1.0
S2A_MSIL2A_20170617T113321_73_2,6.0,
S2A_MSIL2A_20171121T112351_86_75,5.0,5.0
S2A_MSIL2A_20171002T112112_46_6,5.0,5.0
S2A_MSIL2A_20180510T094031_68_88,6.0,6.0
S2B_MSIL2A_20170818T112109_84_21,1.0,
S2B_MSIL2A_20170930T095019_67_48,6.0,6.0
S2A_MSIL2A_20180508T104031_20_42,6.0,6.0
S2A_MSIL2A_20170905T95032_17_8,5.0,5.0
S2B_MSIL2A_20180422T093029_66_80,5.0,5.0
S2A_MSIL2A_20180205T100211_87_13,6.0,6.0
S2B_MSIL2A_20180506T105029_76_1,7.0,7.0
S2A_MSIL2A_20180529T115401_55_52,0.0,0.0
S2B_MSIL2A_20171226T094359_77_90,1.0,1.0
S2B_MSIL2A_20170924T093019_15_90,0.0,0.0
S2B_MSIL2A_20170906T101020_41_74,6.0,6.0
S2B_MSIL2A_20170825T093029_29_81,2.0,2.0
S2A_MSIL2A_20180506T100031_0_23,5.0,5.0
S2B_MSIL2A_20170808T094029_83_29,2.0,2.0
S2A_MSIL2A_20170704T112111_63_49,5.0,5.0
S2B_MSIL2A_20180522T093029_56_15,5.0,5.0
S2B_MSIL2A_20180509T092029_24_41,3.0,3.0
S2A_MSIL2A_20180527T093041_63_86,6.0,
S2A_MSIL2A_20170704T112111_70_58,6.0,6.0
S2A_MSIL2A_20180419T101031_38_63,0.0,0.0
S2B_MSIL2A_20171019T102019_56_77,0.0,0.0
S2B_MSIL2A_20170808T094029_1_41,7.0,7.0
S2B_MSIL2A_20180220T114339_77_75,0.0,0.0
S2B_MSIL2A_20170829T105019_44_4,6.0,6.0
S2A_MSIL2A_20171221T112501_50_8,5.0,5.0
S2B_MSIL2A_20180502T093039_26_58,5.0,5.0
S2A_MSIL2A_20170617T113321_21_17,5.0,5.0
S2A_MSIL2A_20170717T113321_79_66,0.0,0.0
S2A_MSIL2A_20180225T114351_15_21,5.0,5.0
S2A_MSIL2A_20180527T093041_6_35,6.0,
S2A_MSIL2A_20171101T94132_87_22,5.0,5.0
S2B_MSIL2A_20180515T112109_0_28,4.0,6.0
S2B_MSIL2A_20170914T093029_84_78,5.0,5.0
S2B_MSIL2A_20170924T093019_34_39,5.0,5.0
S2B_MSIL2A_20170814T100029_87_30,0.0,
S2B_MSIL2A_20170924T093019_80_22,3.0,3.0
S2A_MSIL2A_20171002T112111_14_89,0.0,0.0
S2A_MSIL2A_20171221T112501_4_49,5.0,5.0
S2A_MSIL2A_20180527T093041_37_50,7.0,
S2B_MSIL2A_20170817T101019_46_90,7.0,7.0
S2B_MSIL2A_20180525T94030_19_73,6.0,6.0
S2B_MSIL2A_20170924T93020_5_1,5.0,5.0
S2B_MSIL2A_20170906T101019_62_11,5.0,5.0
S2A_MSIL2A_20170813T112121_69_87,6.0,6.0
S2B_MSIL2A_20170924T93020_19_25,5.0,5.0
S2A_MSIL2A_20171002T112111_33_42,7.0,7.0
S2A_MSIL2A_20180508T104031_8_64,6.0,6.0
S2A_MSIL2A_20180527T093041_37_19,5.0,
S2A_MSIL2A_20170720T100031_72_15,0.0,0.0
S2A_MSIL2A_20180510T094031_32_82,6.0,6.0
S2A_MSIL2A_20180508T104031_4_51,6.0,6.0
S2A_MSIL2A_20171221T112501_76_22,5.0,5.0
S2A_MSIL2A_20171101T94132_84_43,5.0,5.0
S2A_MSIL2A_20170905T095031_71_23,3.0,3.0
S2A_MSIL2A_20170613T101031_62_80,6.0,6.0
S2B_MSIL2A_20170825T093029_86_61,5.0,5.0
S2A_MSIL2A_20171104T095201_25_14,0.0,0.0
S2B_MSIL2A_20170924T93020_2_84,5.0,5.0
S2B_MSIL2A_20171112T114339_88_5,0.0,0.0
S2B_MSIL2A_20180522T093029_13_32,5.0,5.0
S2A_MSIL2A_20170905T095031_14_70,6.0,6.0
S2B_MSIL2A_20170808T094029_34_5,5.0,5.0
S2A_MSIL2A_20170905T095031_35_57,3.0,3.0
S2A_MSIL2A_20170905T095031_29_26,3.0,3.0
S2B_MSIL2A_20170930T095019_80_64,6.0,6.0
S2B_MSIL2A_20180421T100029_12_51,3.0,3.0
S2A_MSIL2A_20171201T112431_90_89,0.0,0.0
S2A_MSIL2A_20171002T112112_57_4,6.0,6.0
S2B_MSIL2A_20180515T094029_64_85,5.0,5.0
S2A_MSIL2A_20170816T095031_27_24,7.0,
S2B_MSIL2A_20170802T092029_19_40,3.0,3.0
S2A_MSIL2A_20180419T101031_68_34,0.0,0.0
S2B_MSIL2A_20170930T095019_55_59,2.0,2.0
S2B_MSIL2A_20180502T093039_85_25,6.0,6.0
S2B_MSIL2A_20170911T092019_40_0,3.0,3.0
S2B_MSIL2A_20180127T102259_22_60,0.0,
S2B_MSIL2A_20180220T114339_19_88,0.0,0.0
S2A_MSIL2A_20170813T112121_75_23,6.0,6.0
S2A_MSIL2A_20171208T093351_64_40,5.0,5.0
S2A_MSIL2A_20180413T095031_71_75,5.0,5.0
S2A_MSIL2A_20180205T100211_84_1,3.0,3.0
S2A_MSIL2A_20171221T112501_32_18,5.0,5.0
S2A_MSIL2A_20170701T093031_7_21,3.0,3.0
S2A_MSIL2A_20170701T093031_51_6,5.0,5.0
S2B_MSIL2A_20180515T094029_67_44,5.0,5.0
S2B_MSIL2A_20170924T93014_4_10,6.0,6.0
S2A_MSIL2A_20180526T100031_37_15,5.0,5.0
S2B_MSIL2A_20180326T112109_40_87,0.0,0.0
S2B_MSIL2A_20180502T093039_30_31,6.0,6.0
S2A_MSIL2A_20180506T100031_83_7,6.0,6.0
S2B_MSIL2A_20180511T100029_45_14,3.0,3.0
S2A_MSIL2A_20171015T095031_29_41,5.0,5.0
S2B_MSIL2A_20171016T101009_57_47,0.0,0.0
S2A_MSIL2A_20170617T113321_47_84,5.0,5.0
S2B_MSIL2A_20180422T093029_15_69,6.0,6.0
S2A_MSIL2A_20180510T94033_8_73,5.0,5.0
S2B_MSIL2A_20180204T94160_41_83,5.0,5.0
S2B_MSIL2A_20170924T93020_42_20,6.0,6.0
S2B_MSIL2A_20180421T100030_18_23,7.0,7.0
S2A_MSIL2A_20180419T101031_53_46,0.0,
S2B_MSIL2A_20170808T094029_74_42,7.0,7.0
